,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
462,462,0.1850679329896802,0.6291551691141433,0.03494505374863599,0.5677354772748359,0.42862820352776937,161.42496229148412,TEX,37.95388889,-107.90833333,US,CO,west,no
463,463,0.29019594541465404,0.649738831904379,0.014488527514008281,0.5677354772748359,0.42862820352776937,161.42496229148412,UGN,42.42138889,-87.86694444,US,IL,east,no
464,464,0.2558791680934631,0.8384470187920485,0.033312936118565194,0.5677354772748359,0.42862820352776937,161.42496229148412,VIS,36.31944444,-119.39388889,US,CA,west,no
465,465,0.2656038066232336,0.7521413649183976,0.013890999650245489,0.5677354772748359,0.42862820352776937,161.42496229148412,VWN,34.15055556,-114.27138889,US,AZ,west,no
466,466,0.14488746546328052,0.8250045413782777,0.047979166543677315,0.5677354772748359,0.42862820352776937,161.42496229148412,YKM,46.56694444,-120.53777778,US,WA,west,no
467,467,0.44436565615503926,0.5370795495991317,0.008118832569327066,0.5677354772748359,0.42862820352776937,161.42496229148412,BVO,36.7625,-96.01083333,US,OK,centre,no
468,468,0.38322063650381966,0.19687035343739515,0.03232323282340573,0.5677354772748359,0.42862820352776937,161.42496229148412,BVY,42.58333333,-70.91555556,US,MA,east,no
469,469,0.3807340475718717,0.35558075063286954,0.020919278870203565,0.5677354772748359,0.42862820352776937,161.42496229148412,CGF,41.56527778,-81.48666667,US,OH,east,no
470,470,0.5968144479713478,0.5750772463921346,0.03734400408709579,0.5677354772748359,0.42862820352776937,161.42496229148412,BWG,36.96222222,-86.42222222,US,KY,centre,no
471,471,0.5088524785854002,0.591054235064552,0.052355289915282176,0.5677354772748359,0.42862820352776937,161.42496229148412,EFD,29.60722222,-95.15861111,US,TX,centre,no
472,472,0.4642108528978006,0.5462920251189702,0.01835561045283814,0.5677354772748359,0.42862820352776937,161.42496229148412,FWH,32.76888889,-97.44111111,US,TX,centre,no
473,473,0.5485654962271636,0.4670922115227486,0.023957985030424792,0.5677354772748359,0.42862820352776937,161.42496229148412,HGR,39.70777778,-77.73,US,MD,east,no
474,474,0.31845959071608665,0.4090013853898628,0.03351566951528598,0.5677354772748359,0.42862820352776937,161.42496229148412,LNS,40.12111111,-76.29972222,US,PA,east,no
475,475,0.3509984220475268,0.3880743350427915,0.00853315769183147,0.5677354772748359,0.42862820352776937,161.42496229148412,MRK,25.99472222,-81.67277778,US,FL,east,no
476,476,0.39264197250638894,0.4871354256003968,0.018842983780093588,0.5677354772748359,0.42862820352776937,161.42496229148412,OCF,29.17555556,-82.22694444,US,FL,east,no
477,477,0.2441012868552816,0.5732253285683024,0.0085924301616238,0.5677354772748359,0.42862820352776937,161.42496229148412,CAD,44.27583333,-85.41916667,US,MI,east,no
478,478,0.5886399513799598,0.11450337334977143,0.22855440051734474,0.5677354772748359,0.42862820352776937,161.42496229148412,CMI,40.03972222,-88.27972222,US,IL,east,no
479,479,0.8181426157863783,0.5248928617444474,0.04521999595542438,0.5677354772748359,0.42862820352776937,161.42496229148412,PIB,31.4675,-89.33666667,US,MS,centre,no
480,480,0.4297012967829664,0.20106635016728128,0.030825556431782235,0.5677354772748359,0.42862820352776937,161.42496229148412,TXK,33.45638889,-93.98916667,US,AR,centre,no
481,481,0.15214944148715845,0.39839968185289976,0.035662521097646116,0.5677354772748359,0.42862820352776937,161.42496229148412,CDR,42.835,-103.09777778,US,NE,centre,no
482,482,0.5826210804302618,0.2825622636078979,0.02340695218546606,0.5677354772748359,0.42862820352776937,161.42496229148412,SHD,38.26388889,-78.89666667,US,VA,east,no
483,483,0.2462283867597538,0.5992988279539461,0.026463602407808248,0.5677354772748359,0.42862820352776937,161.42496229148412,CEZ,37.30277778,-108.62722222,US,CO,west,no
484,484,0.19373723750810454,0.694188051032902,0.058748088836132584,0.5677354772748359,0.42862820352776937,161.42496229148412,FMN,36.74111111,-108.22916667,US,NM,west,no
485,485,0.741028674461427,0.39291066857840334,0.07449410375496465,0.5677354772748359,0.42862820352776937,161.42496229148412,FSM,35.33666667,-94.3675,US,AR,centre,no
486,486,0.3443472439342197,0.2747559662762164,0.022075855620037405,0.5677354772748359,0.42862820352776937,161.42496229148412,FXE,26.19694444,-80.17083333,US,FL,east,no
487,487,0.5173178816102835,0.8371242218661695,0.024986103469109552,0.5677354772748359,0.42862820352776937,161.42496229148412,CIC,39.79583333,-121.85666667,US,CA,west,no
488,488,0.6868915979489758,0.14224403270884978,0.07850953921359541,0.5677354772748359,0.42862820352776937,161.42496229148412,LAF,40.41194444,-86.93361111,US,IN,east,no
489,489,0.42189161092705896,0.21468811526090317,0.06395686950893918,0.5677354772748359,0.42862820352776937,161.42496229148412,LCK,39.81416667,-82.93222222,US,OH,east,no
490,490,0.5057953049289645,0.27224794113887585,0.029601869445065807,0.5677354772748359,0.42862820352776937,161.42496229148412,MCW,43.15694444,-93.32944444,US,IA,centre,no
491,491,0.7571281960473946,0.3778061774769858,0.01540287766297845,0.5677354772748359,0.42862820352776937,161.42496229148412,MGW,39.64277778,-79.91583333,US,WV,east,no
